k,inertia
1,256.8740855678923
2,168.81189630685213
3,93.77462568057297
4,49.66549665179737
5,37.83946598681243
6,27.720626194899804
7,21.182775862957335
8,17.01696214007742
9,13.668324883664049
10,10.484890485976921
