k,inertia
1,287.0
2,198.57181809798124
3,123.19048183836958
4,79.02243535120977
5,65.302379141625
6,52.10180599356482
7,46.035250055550186
8,37.28480659404661
9,32.16141710107242
10,28.075252677898874
